Evidence level,Member / role,Technique ID / Pipeline ID,Technique / Pipeline,Source output file,Dataset/sample,Protocol,Metric domain,Images,MSE,PSNR (dB),SSIM,Coherence,Local contrast,Fragmentation,Continuity,Target exceeded,Observation
per-image,Member 1 main technique,NLM_h0.06,OpenCV Non-Local Means,focused_psnr_audit_test_per_image.csv,86__M_Right_index_finger.BMP,"Gaussian noise only, severity 0.55; held-out test image","aligned grayscale [0,1]",1.0,0.0009901318069576,30.043069880043788,0.9406135578098296,,,,,True,Held-out per-image PSNR for the frozen NLM setting.
per-image,Member 1 main technique,NLM_h0.06,OpenCV Non-Local Means,focused_psnr_audit_test_per_image.csv,576__M_Left_little_finger.BMP,"Gaussian noise only, severity 0.55; held-out test image","aligned grayscale [0,1]",1.0,0.001348195238561,28.70247210998073,0.9390852684168816,,,,,True,Held-out per-image PSNR for the frozen NLM setting.
per-image,Member 1 main technique,NLM_h0.06,OpenCV Non-Local Means,focused_psnr_audit_test_per_image.csv,537__M_Right_thumb_finger.BMP,"Gaussian noise only, severity 0.55; held-out test image","aligned grayscale [0,1]",1.0,0.0012158704721021,29.151126884247645,0.957470823348999,,,,,True,Held-out per-image PSNR for the frozen NLM setting.
summary,Member 1 direct Altered sanity,NLM_h0.06,OpenCV Non-Local Means,focused_psnr_audit_altered_structure.csv,"9 Altered images, 3 each from Easy/Medium/Hard",Direct Altered evaluation; no synthetic degradation; structural metrics only,grayscale direct Altered,9.0,,,,0.7179807424545288,0.18709473477469551,4.5370220501642615,,,"Mean deltas: coherence +0.0475, local contrast -0.0050, fragmentation -0.5182."
summary,Member 2 baseline comparator,G1,Ordinary Gabor filter,screening24_family_summary.csv,24-image SOCOFing Real development screening subset,Current stacked synthetic degradation; aligned clean Real reference,grayscale,24.0,0.0448205080672521,13.677734820789729,0.4408601672750404,0.4968739661077658,,,,False,Ordinary Gabor is useful as the baseline; controlled PSNR is low and direct evidence shows contrast/fragmentation trade-offs.
summary,Member 2 main investigation,G2,Literature-inspired Modified Gabor,screening24_family_summary.csv,24-image SOCOFing Real development screening subset,Current stacked synthetic degradation; aligned clean Real reference,grayscale,24.0,0.0297508955084379,15.725551681949948,0.5097066144575394,0.4761482005318005,,,,False,"Literature-inspired Modified Gabor is implemented, but exact article settings are unknown and should not be claimed."
summary,Member 2 supporting adaptive variant,G3,Adaptive local-orientation Gabor,screening24_family_summary.csv,24-image SOCOFing Real development screening subset,Current stacked synthetic degradation; aligned clean Real reference,grayscale,24.0,0.0292642129014528,15.771097339304117,0.5172731901348665,0.4812301807105541,,,,False,Adaptive local-orientation Gabor supports the modified/adaptive investigation.
summary,Member 2 supporting adaptive variant,G4,Adaptive orientation-frequency Gabor,screening24_family_summary.csv,24-image SOCOFing Real development screening subset,Current stacked synthetic degradation; aligned clean Real reference,grayscale,24.0,0.0299336391708882,15.671488847368275,0.5095320201085984,0.4769881491859754,,,,False,Adaptive orientation-frequency Gabor supports frequency-aware ridge enhancement investigation.
summary,Member 2 direct Altered trade-off,C1,P0 -> CLAHE -> Ordinary Gabor,hybrid24_direct_summary.csv,"24 Altered images, 8 each from Easy/Medium/Hard",Direct Altered evaluation; no synthetic degradation; no PSNR against unverified pair,grayscale,24.0,,,,0.7260972807804743,0.1644369053343931,3.999140106479293,20.98086423614281,,P0 -> CLAHE -> Ordinary Gabor raised coherence but reduced contrast and increased fragmentation versus CLAHE.
summary,Member 3 main technique,R3,Total variation restoration,screening24_family_summary.csv,24-image SOCOFing Real development screening subset,Current stacked synthetic degradation; aligned clean Real reference,grayscale,24.0,0.0308326885343322,15.563449893792432,0.5718593652716767,0.6212267180283865,,,,False,"TV shows high SSIM/coherence balance in the stacked screening, although not high PSNR under stacked degradation."
summary,Member 3 comparator,R1,Wiener deconvolution,screening24_family_summary.csv,24-image SOCOFing Real development screening subset,Current stacked synthetic degradation; aligned clean Real reference,grayscale,24.0,0.0276152032236431,16.17071484500286,0.5436438730260577,0.4981629885733127,,,,False,Wiener deconvolution is the conventional restoration comparator and was stronger than TV on stacked PSNR.
summary,Member 3 direct compatibility,C3,P0 -> CLAHE -> Total Variation Restoration,hybrid24_direct_summary.csv,"24 Altered images, 8 each from Easy/Medium/Hard",Direct Altered evaluation; no synthetic degradation; no PSNR against unverified pair,grayscale,24.0,,,,0.7255392149090767,0.2037259228527546,2.9321017125906788,24.09339069225987,,CLAHE -> TV kept high coherence but reduced contrast slightly versus CLAHE.
summary,Member 3 direct compatibility,C4,P0 -> Total Variation Restoration -> CLAHE,hybrid24_direct_summary.csv,"24 Altered images, 8 each from Easy/Medium/Hard",Direct Altered evaluation; no synthetic degradation; no PSNR against unverified pair,grayscale,24.0,,,,0.7475145608186722,0.2135820730278889,2.8435063101043982,23.54836115969449,,"TV -> CLAHE produced the strongest direct coherence among hybrid grayscale candidates, with mild contrast trade-off versus CLAHE."
summary,Member 3 controlled hybrid check,C4,P0 -> Total Variation Restoration -> CLAHE,hybrid24_controlled_summary.csv,24-image controlled hybrid subset,Current stacked synthetic degradation; aligned clean Real reference,grayscale,24.0,0.0493103551174876,13.224078003055553,0.6092412044463782,0.6129063380261263,,,,False,TV -> CLAHE did not solve the stacked-degradation PSNR problem; it remains below the literature target.
summary,Member 4 main technique,G7,Coherence-guided directional diffusion,screening24_family_summary.csv,24-image SOCOFing Real development screening subset,Current stacked synthetic degradation; aligned clean Real reference,grayscale,24.0,0.029728345500668,15.775740767393202,0.5043553698355523,0.497794425735871,,,,False,Coherence-guided directional diffusion is a grayscale orientation-aware method and should replace thinning as M4 headline.
summary,Member 4 direct compatibility,C2,P0 -> CLAHE -> Coherence-Guided Directional Diffusion,hybrid24_direct_summary.csv,"24 Altered images, 8 each from Easy/Medium/Hard",Direct Altered evaluation; no synthetic degradation; no PSNR against unverified pair,grayscale,24.0,,,,0.7061660413940748,0.2075953837484121,2.894931049860126,23.99656160914598,,"Directional diffusion after CLAHE was more compatible than Ordinary Gabor, with less contrast loss and much lower fragmentation penalty."
summary,Baseline,C3,CLAHE,screening24_family_summary.csv,24-image SOCOFing Real development screening subset,Current stacked synthetic degradation; aligned clean Real reference,grayscale,24.0,0.0936142299712216,10.454648555593684,0.4603401788437706,0.4633536723752816,,,,False,"CLAHE is a basic contrast-enhancement baseline, not a member headline."
summary,Baseline,C4,Contrast stretching,screening24_family_summary.csv,24-image SOCOFing Real development screening subset,Current stacked synthetic degradation; aligned clean Real reference,grayscale,24.0,0.023010817724715,17.111871512767234,0.5540773241533956,0.4741388993958632,,,,False,Contrast stretching remains a basic/global contrast baseline.
summary,Baseline,D1,Gaussian filtering,screening24_family_summary.csv,24-image SOCOFing Real development screening subset,Current stacked synthetic degradation; aligned clean Real reference,grayscale,24.0,0.0287506567032075,15.914590563335452,0.5761990853928363,0.556834821899732,,,,False,Gaussian filtering remains a basic smoothing comparator.
summary,Baseline,D2,Median filtering,screening24_family_summary.csv,24-image SOCOFing Real development screening subset,Current stacked synthetic degradation; aligned clean Real reference,grayscale,24.0,0.0290084943870108,15.874611741545817,0.5783367052362692,0.5970520004630089,,,,False,Median filtering remains a basic impulse-noise comparator.
summary,Baseline,D3,Bilateral filtering,screening24_family_summary.csv,24-image SOCOFing Real development screening subset,Current stacked synthetic degradation; aligned clean Real reference,grayscale,24.0,0.0300179155817386,15.777232660911148,0.5184151205701001,0.4733437212804953,,,,False,Bilateral filtering remains a classical edge-aware comparator where used.
summary,Baseline,D5,Wiener noise filtering,screening24_family_summary.csv,24-image SOCOFing Real development screening subset,Current stacked synthetic degradation; aligned clean Real reference,grayscale,24.0,0.0333699624875515,15.104254842962868,0.5138625155262995,0.6210510656237602,,,,False,Wiener noise filtering remains a conventional denoising comparator.
summary,Baseline,D6,Wavelet denoising,screening24_family_summary.csv,24-image SOCOFing Real development screening subset,Current stacked synthetic degradation; aligned clean Real reference,grayscale,24.0,0.0289946361485865,15.923194625551028,0.5393750794667505,0.5188000313937664,,,,False,Wavelet denoising remains a comparator/supporting denoising method; check actual fallback branch in any run.
summary,Downstream structural support,M3-2,Closing,screening24_family_summary.csv,24-image SOCOFing Real development screening subset,Current stacked synthetic degradation; aligned clean Real reference,ridge map,24.0,,,,,,4.655810460399397,20.440566816425772,,Closing is a morphology support operation and has no full-reference grayscale PSNR.
summary,Downstream structural support,T4,Morphological skeleton / medial axis,screening24_family_summary.csv,24-image SOCOFing Real development screening subset,Current stacked synthetic degradation; aligned clean Real reference,skeleton,24.0,,,,,,19.99128366338705,21.3351318949346,,Skeleton/medial axis is downstream analysis; do not calculate PSNR on skeletons.
